Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
jiao4shi4 (1)	<???>	jiao4shi4 (1)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006f U+0034 U+0073 U+0068 U+0069 U+0034 U+0020 U+0028 U+0031 U+0029
xi1 (2)	<???>	xi1 (2)	Mandarin Chinese	1	U+0078 U+0069 U+0031 U+0020 U+0028 U+0032 U+0029
chao2 (2)	<???>	chao2 (2)	Mandarin Chinese	1	U+0063 U+0068 U+0061 U+006f U+0032 U+0020 U+0028 U+0032 U+0029
qi2 (1)	<???>	qi2 (1)	Mandarin Chinese	1	U+0071 U+0069 U+0032 U+0020 U+0028 U+0031 U+0029
e4 (1)	<???>	e4 (1)	Mandarin Chinese	1	U+0065 U+0034 U+0020 U+0028 U+0031 U+0029
ju1(zi)	<???>	ju1(zi)	Mandarin Chinese	1	U+006a U+0075 U+0031 U+0028 U+007a U+0069 U+0029
^4	<?>	4 wo1	Mandarin Chinese	1	U+005e U+0034
jiao4shi4 (2)	<???>	jiao4shi4 (2)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006f U+0034 U+0073 U+0068 U+0069 U+0034 U+0020 U+0028 U+0032 U+0029
xin1 (2)	<???>	xin1 (2)	Mandarin Chinese	1	U+0078 U+0069 U+006e U+0031 U+0020 U+0028 U+0032 U+0029
sha1 (1)	<???>	sha1 (1)	Mandarin Chinese	1	U+0073 U+0068 U+0061 U+0031 U+0020 U+0028 U+0031 U+0029
jian1 (3)	<???>	jian1 (3)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006e U+0031 U+0020 U+0028 U+0033 U+0029
jin4 (2)	<???>	jin4 (2)	Mandarin Chinese	1	U+006a U+0069 U+006e U+0034 U+0020 U+0028 U+0032 U+0029
ji4 (2)	<???>	ji4 (2)	Mandarin Chinese	1	U+006a U+0069 U+0034 U+0020 U+0028 U+0032 U+0029
kan4 (shu1/bao4)	<???>	kan4 (shu1/bao4)	Mandarin Chinese	1	U+006b U+0061 U+006e U+0034 U+0020 U+0028 U+0073 U+0068 U+0075 U+0031 U+002f U+0062 U+0061 U+006f U+0034 U+0029
5$	<?>	shi2wu5	Mandarin Chinese	1	U+0035 U+0024
yu3 (1)	<???>	yu3 (1)	Mandarin Chinese	1	U+0079 U+0075 U+0033 U+0020 U+0028 U+0031 U+0029
cuo4 (1)	<???>	cuo4 (1)	Mandarin Chinese	1	U+0063 U+0075 U+006f U+0034 U+0020 U+0028 U+0031 U+0029
nü3-(de)	<???>	nü3-(de)	Mandarin Chinese	1	U+006e U+00fc U+0033 U+002d U+0028 U+0064 U+0065 U+0029
pa2 (1)	<???>	pa2 (1)	Mandarin Chinese	1	U+0070 U+0061 U+0032 U+0020 U+0028 U+0031 U+0029
e4(gu3)	<???>	e4(gu3)	Mandarin Chinese	1	U+0065 U+0034 U+0028 U+0067 U+0075 U+0033 U+0029
jian4 (4)	<???>	jian4 (4)	Mandarin Chinese	1	U+006a U+0069 U+0061 U+006e U+0034 U+0020 U+0028 U+0034 U+0029
